X,Y,Z,Yaw,Pitch,Roll
0,0.25717,0,-45,-10,0
0,0.25341,0,-44.799,-9.9331,0
0,0.24965,0,-44.599,-9.8662,0
0,0.24588,0,-44.398,-9.7993,0
0,0.24212,0,-44.197,-9.7324,0
0,0.23836,0,-43.997,-9.6656,0
0,0.23459,0,-43.796,-9.5987,0
0,0.23083,0,-43.595,-9.5318,0
0,0.22707,0,-43.395,-9.4649,0
0,0.22331,0,-43.194,-9.398,0
0,0.21954,0,-42.993,-9.3311,0
0,0.21578,0,-42.793,-9.2642,0
0,0.21202,0,-42.592,-9.1973,0
0,0.20826,0,-42.391,-9.1304,0
0,0.20449,0,-42.191,-9.0635,0
0,0.20073,0,-41.99,-8.9967,0
0,0.19697,0,-41.789,-8.9298,0
0,0.19321,0,-41.589,-8.8629,0
0,0.18944,0,-41.388,-8.796,0
0,0.18568,0,-41.187,-8.7291,0
0,0.18192,0,-40.987,-8.6622,0
0,0.17815,0,-40.786,-8.5953,0
0,0.17439,0,-40.585,-8.5284,0
0,0.17063,0,-40.385,-8.4615,0
0,0.16687,0,-40.184,-8.3946,0
0,0.1631,0,-39.983,-8.3278,0
0,0.15934,0,-39.783,-8.2609,0
0,0.15558,0,-39.582,-8.194,0
0,0.15182,0,-39.381,-8.1271,0
0,0.14805,0,-39.181,-8.0602,0
0,0.14429,0,-38.98,-7.9933,0
0,0.14053,0,-38.779,-7.9264,0
0,0.13677,0,-38.579,-7.8595,0
0,0.133,0,-38.378,-7.7926,0
0,0.12924,0,-38.177,-7.7258,0
0,0.12548,0,-37.977,-7.6589,0
0,0.12171,0,-37.776,-7.592,0
0,0.11795,0,-37.575,-7.5251,0
0,0.11419,0,-37.375,-7.4582,0
0,0.11043,0,-37.174,-7.3913,0
0,0.11043,0,-36.973,-7.3244,0
0.0038462,0.11043,0,-36.773,-7.2575,0
0.0076923,0.11043,0,-36.572,-7.1906,0
0.011538,0.11043,0,-36.371,-7.1237,0
0.015385,0.11043,0,-36.171,-7.0569,0
0.019231,0.11043,0,-35.97,-6.99,0
0.023077,0.11043,0,-35.769,-6.9231,0
0.026923,0.11043,0,-35.569,-6.8562,0
0.030769,0.11043,0,-35.368,-6.7893,0
0.034615,0.11043,0,-35.167,-6.7224,0
0.038462,0.11043,0,-34.967,-6.6555,0
0.042308,0.11043,0,-34.766,-6.5886,0
0.046154,0.11043,0,-34.565,-6.5217,0
0.05,0.11043,0,-34.365,-6.4548,0
0.053846,0.11043,0,-34.164,-6.388,0
0.057692,0.11043,0,-33.963,-6.3211,0
0.061538,0.11043,0,-33.763,-6.2542,0
0.065385,0.11043,0,-33.562,-6.1873,0
0.069231,0.11043,0,-33.361,-6.1204,0
0.073077,0.11043,0,-33.161,-6.0535,0
